label,cx_int,cy_int,theta_rad,major_std,minor_std,m00,area,cx_geom,cy_geom
6,116.68619166506626,28.48684463222585,1.3138728974886262,2.5226462660583664,2.5160544648023055,10414.0,116,116.63793103448276,28.5
7,370.94859064702115,28.084881486226777,0.29982199406210935,2.3486542266585877,2.3122138738632336,6244.0,94,370.9468085106383,28.127659574468087
12,391.7227525855211,40.311455847255374,0.37156812363913727,1.9486278907910215,1.8169899874230753,5028.0,65,391.8,40.261538461538464
13,483.99212598425197,41.511811023622045,-1.537617681941938,0.8546541514994976,0.7040900039608419,254.0,8,484.0,41.5
14,156.126213592233,46.390776699029125,-0.27066052217286474,1.9412737751526161,0.6842219204041123,412.0,13,156.15384615384616,46.38461538461539
15,379.0797736400146,53.763782402336616,1.5280050888720056,2.101880629694959,1.981348094041338,5478.0,74,379.06756756756755,53.86486486486486
16,31.145824223874072,56.61958898119808,0.15412506246214389,1.8511893210864998,1.761536449234495,4574.0,61,31.016393442622952,56.57377049180328
20,90.66686911630732,69.88445186759793,-1.5035628978894864,2.485819274119475,2.473710101599677,6586.0,103,90.66019417475728,69.97087378640776
29,310.2156141868512,94.61851211072664,-0.048155237486231954,1.8054542255237955,1.6807477200119239,4624.0,58,310.1034482758621,94.53448275862068
40,471.48674501229846,123.41978682700191,1.2972388926155303,4.0836516519764485,2.0234387154054425,7318.0,121,471.4710743801653,123.3801652892562
43,38.72642390289449,132.55835667600374,0.36616295625040535,1.8777112502963447,1.7464953848558329,3213.0,56,38.767857142857146,132.60714285714286
44,299.7837520042758,134.0967397113843,0.46729615660516155,2.430329491031625,2.3581887065263025,9355.0,106,299.75471698113205,134.10377358490567
45,236.0031746031746,132.4920634920635,1.5644806672236828,1.6317860792931127,0.629861043949758,315.0,10,236.0,132.5
47,331.6876513317191,137.83050847457628,1.3546205601429424,1.9183695749261196,0.7314188024545129,413.0,13,331.6923076923077,137.84615384615384
48,359.98850574712645,138.50191570881225,-1.546029517179568,0.8560939039487233,0.7082667360072581,261.0,8,360.0,138.5
51,139.512,150.5,0.806757501551059,1.0593730879616143,0.6079347502015932,250.0,8,139.5,150.5
56,497.0147058823529,157.36176470588236,-0.542909707929472,1.2501221086514216,0.7072640208025736,340.0,11,497.0,157.36363636363637
59,399.58985200845666,170.77040169133193,1.2404387076592112,2.1482638402725773,2.04059445119971,4730.0,74,399.5405405405405,170.71621621621622
60,132.0028409090909,168.9971590909091,1.0600407053936986e-05,1.141914708745081,0.7366176521870897,352.0,11,132.0,169.0
61,271.9847127042699,173.40432261465472,0.04586116304157843,2.558346470599916,2.5204401064168453,9485.0,115,272.03478260869565,173.44347826086957
62,357.4083969465649,174.26113231552162,-0.7673929980623079,1.915895687633052,1.8809752396063584,3144.0,58,357.4310344827586,174.22413793103448
63,415.8713834823777,176.3832193582325,1.2036340143120645,2.124776318961211,1.995916651383019,3802.0,68,415.8970588235294,176.41176470588235
67,35.19482846902201,183.8504864311316,-0.9197299323015857,1.7944696077297733,1.6927018964984952,3906.0,56,35.25,183.85714285714286
68,353.66925,189.086,1.4339747911955203,1.86179806569078,1.7702164839617978,4000.0,59,353.66101694915255,189.05084745762713
69,300.8247734138973,189.0641154749916,-1.032831508904138,1.4950424807833607,1.4831228904316778,2979.0,41,300.7560975609756,189.0
73,478.5160642570281,198.52008032128515,1.142273899515277,1.3974308368541182,0.8874061257249168,498.0,16,478.5,198.5
78,189.5177865612648,205.02371541501975,0.08176363377956675,0.8564356387695857,0.7041848962625814,253.0,8,189.5,205.0
80,104.0467268874763,213.9243894279023,0.017918516207763413,2.519413663033,2.511146475156084,8967.0,113,104.11504424778761,213.90265486725664
81,292.7154902433149,226.7541957761182,-0.697890938745246,11.48315478587038,1.5084435634945916,24906.0,312,292.5480769230769,226.87179487179486
82,355.5,210.51538461538462,-0.7903940320298796,1.0578899044053418,0.6106881004853592,260.0,8,355.5,210.5
88,38.51574803149606,227.5236220472441,0.7642413195558909,1.0590603149560847,0.6080388408030231,254.0,8,38.5,227.5
89,36.003937007874015,230.51181102362204,-1.5473631169154292,0.8637493803910856,0.7014064327777212,254.0,8,36.0,230.5
